English,Commentary,Spanish,Observaciones
Country of Former Allegiance,"Consider the sexual or interpersonal relationship connotations of the term 'fidelidad', which would correspond more strictly to 'faithfulness'. 'Lealtad' may correspond more strictly to the English 'loyalty', but seems to be the closest to the mark in Spanish.",País de Previa Lealtad,
Duration of Status,,"Duración, plazo de la condición, (Mex.) situación migratoria, visado",
Change (of status),"In the US Immigration context, 'change of status' is when you go from one non-immigrant visa to another; for example, from a tourist visa to a student visa.","Cambio (de condición, (Mex.) situación migratoria)",
Adjustment,"In the US Immigration context, 'adjustment' is a process that always ends in becoming an LPR. This can happen a number of ways: going from undocumented to LPR (asylum, 42-B); TPS to LPR; student to LPR (marriage, etc). ","Cambio (de condición, (Mex.) situación migratoria)",
Adjust status,,Regularizar,
Registry,"This is a USCIS process through  which a green card can be obtained; it is literally referred to as ""Green Card Through Registry"". It is very rare at this point, as the first requirement is that the applicant entered the US before January 1st, 1972. USCIS refers to it literally as 'Registro'. Given this background, a literal/general translation is recommended.",Registro,
Out of Status,"In the US Immigration context, 'out of status' is a phrase used to express that you are without valid legal immigration status. It's euphemistic and vague. It can be someone who is undocumented as well as someone who overstayed a visa, amongst other situations.","Sin condición, (Mex.) situación migratoria (legal), irregular",
Undocumented ,"There have been many battles fought over this term. For our purposes, 'undocumented' has a relatively limited meaning, which is that of someone who is present in the United States without legal permission, most often having entered without inspection.","Irregular, sin papeles",
In status,,"Con condición, (Mex.) situación migratoria (legal)",
Status,,"Condición, (Mex.) situación migratoria",
Acquired citizenship,,"(ciudadanía) de orígen (Spain, Guat.), por nacimiento (Méx.)",
Derivative citizenship,,"(ciudadanía) por naturalización (Méx., Guat.)",
